Var_Name,Var_Label
BYA19MA,Track offered to males
BYA19MB,Track offered to females
BYA19NA,Golf offered to males
BYA19NB,Golf offered to females
BYA19OA,Gymnastics offered to males
BYA19OB,Gymnastics offered to females
BYA19PA,Wrestling offered to males
BYA19PB,Wrestling offered to females
BYA19QA,Cheerleading offered to males
BYA19QB,Cheerleading offered to females
BYA19RA,Drill team offered to males
BYA19RB,Drill team offered to females
BYA19SA,Other sport offered to males
BYA19SB,Other sport offered to females
BYA19TA,No sports offered to males
BYA19TB,No sports offered to females
BYA20,% 10th graders are LEP or non-English proficient
BYA22B,# of part-time teachers
BYA23A,# of full-time math teachers
BYA23B,# of full-time science teachers
BYA23C,# of full-time art teachers
BYA23D,# of full-time music teachers
BYA23E,# of full-time English teachers
BYA23F,# of full-time foreign language teachers
BYA23G,# of full-time social sciences teachers
BYA23H,# of full-time history teachers
BYA23I,# of full-time vocational education teachers
BYA23J,# of full-time physical education teachers
BYA23K,# full-time guidance counselors
BYA23L,# full-time special education teachers
BYA24A,% full-time teachers are certified
BYA24B,% part-time teachers are certified
BYA25A,% full-time teachers teach out of field
BYA25B,% part-time teachers teach out of field
BYA26A,Lowest salary paid to full-time teachers
BYA26B,Highest salary paid to full-time teachers
BYA27A,Principal/administrator evaluates teachers
BYA27B,Teachers evaluate teachers
BYA27C,Students evaluate teachers
BYA28A,Good teachers given special awards
BYA28B,Good teachers assigned to better students
BYA28C,Good teachers given a lighter teaching load
BYA28D,Good teachers relieved of administrative/disciplinary duties
BYA28E,Good teachers given priority on requests for materials
BYA28F,Good teachers receive higher pay
BYA28G,Good teachers are not recognized in these ways
BYA29,Content standards for academic subjects
BYA30,Main source of content standards
BYA31,Content standards linked with performance standards
BYA32,Students must pass a test for high school diploma
BYA33AA,Minimum competency test given in grade 7
BYA33AB,Math is on grade 7 competency test
BYA33AC,Science is on grade 7 competency test
BYA33AD,English is on grade 7 competency test
BYA33AE,History/social studies is on grade 7 competency test
BYA33BA,Minimum competency test given in grade 8
BYA33BB,Math is on grade 8 competency test
BYA33BC,Science is on grade 8 competency test
BYA33BD,English is on grade 8 competency test
BYA33BE,History/social studies is on grade 8 competency test
BYA33CA,Minimum competency test given in grade 9
BYA33CB,Math is on grade 9 competency test
BYA33CC,Science is on grade 9 competency test
BYA33CD,English is on grade 9 competency test
BYA33CE,History/social studies is on grade 9 competency test
BYA33DA,Minimum competency test given in grade 10
BYA33DB,Math is on grade 10 competency test
BYA33DC,Science is on grade 10 competency test
BYA33DD,English is on grade 10 competency test
BYA33DE,History/social studies is on grade 10 competency test
BYA33EA,Minimum competency test given in grade 11
BYA33EB,Math is on grade 11 competency test
BYA33EC,Science is on grade 11 competency test
BYA33ED,English is on grade 11 competency test
BYA33EE,History/social studies is on grade 11 competency test
BYA33FA,Minimum competency test given in grade 12
BYA33FB,Math is on grade 12 competency test
BYA33FC,Science is on grade 12 competency test
BYA33FD,English is on grade 12 competency test
BYA33FE,History/social studies is on grade 12 competency test
BYA34A,Competency test is state requirement
BYA34B,Competency test is district requirement
BYA34C,Competency test is school requirement
BYA35,Competency test tied to content standards
BYA36,% fail competency test on first attempt
BYA37A,Retake competency test if failed
BYA37B,Take remedial class if fail competency test
BYA37C,Complete competency test preparation class if fail
BYA37D,Tutoring/individualized academic program if fail competency test
BYA37E,Summer school if fail competency test
BYA37F,Referred to alternative/continuing ed school if fail competency test
BYA38A,Control access to buildings during school hours
BYA38B,Control access to grounds during school hours
BYA38C,Require students pass through metal detector
BYA38D,Random metal detector checks on students
BYA38E,Close campus for students during lunch
BYA38F,Random dog sniffs to check for drugs
BYA38G,Random sweeps for contraband
BYA38H,Require drug testing for any students
BYA38I,Require students to wear uniforms
BYA38J,Enforce strict dress code
BYA38K,Require clear book bags/ban book bags
BYA38L,Require students to wear badges/picture ID
BYA38M,Require faculty/staff to wear badges/picture ID
BYA38N,Use security cameras to monitor school
BYA38O,Telephones in most classrooms
BYA38P,Emergency call button in classrooms
BYA39A,Process to get parent input on discipline policies
BYA39B,Training parents to deal with problem behavior
BYA39C,Program involves parents in school discipline
BYA40A,Use paid security at any time during school hours
BYA40B,Use paid security as students arrive or leave
BYA40C,Use paid security at school activities
BYA40D,Use paid security outside of school hours/activities
BYA40E,Use paid security at other time
BYA41A,Teachers have access to cable TV
BYA41B,Teachers have access to closed-circuit TV
BYA41C,Teachers have access to videodisc player/VCR/DVD
BYA41D,Teachers have access to video camera
BYA41E,Teachers have access to video production studio
BYA41F,Teachers have access to satellite TV hook-up
BYA41G,Teachers have access to videoconferencing equipment
BYA41H,Teachers have access to digital camera
BYA41I,Teachers have access to scanner
BYA41J,Teachers have access to LCD panel
BYA41K,Teachers have access to laptop computer
BYA41L,Teachers have access to Internet
BYA41M,Teachers have access to computer printer
BYA42A,Teachers use computers as instructional tools
BYA42B,Teachers use computers to plan lessons
BYA42C,Teachers use computers for professional development courses
BYA42D,Teachers use computers to communicate with colleagues
BYA42E,Teachers use computers to access best practices
BYA42F,Teachers use computers to communicate with parents
BYA42G,Teachers use computers to post homework
BYA42H,Teachers/staff use computers to communicate with each other
BYA42I,Teachers use computers to teach job skills
BYA42J,Administrative staff use computers for administrative purposes
BYA42K,Administrative staff use computers to communicate with colleagues
BYA42L,Administrative staff use computers to communicate with parents
BYA42M,School offers students distance learning courses
BYA42N,Teachers have access to Internet professional development programs
BYA43A,Teacher training on use of new software
BYA43B,Teacher training on use of Internet
BYA43C,Teacher training on using computers to teach skills
BYA43D,Teacher training on integrating computer into class
BYA43E,Teacher training on basic computer literacy
BYA44A,Computers in administrative offices
BYA44B,Computers in teacher work rooms
BYA44C,Computers in classrooms
BYA44D,Computers in the library media center
BYA44E,Computers in separate computer lab
BYA46A,Principal^s influence on hiring/firing teachers
BYA46B,Principal^s influence on grouping students
BYA46C,Principal^s influence on course offerings
BYA46D,Principal^s influence on instructional materials
BYA46E,Principal^s influence on curricular guidelines
BYA46F,Principal^s influence on grading and evaluation
BYA46G,Principal^s influence on discipline policies
BYA46H,Principal^s influence on school funds
BYA47A,School^s relationship with school board
BYA47B,School^s relationship with central office
BYA47C,School^s relationship with teachers^ association
BYA48A,Principal evaluated on standardized test scores
BYA48B,Principal evaluated on school environment
BYA48C,Principal evaluated on efficient administration
BYA48D,Principal evaluated on parent involvement
BYA48E,Principal evaluated on relationship with community
BYA48F,Principal evaluated on new programs/reform
BYA49A,How often tardiness a problem at school
BYA49B,How often absenteeism a problem at school
BYA49C,How often class cutting a problem at school
BYA49D,How often physical conflicts a problem at school
BYA49E,How often robbery/theft a problem at school
BYA49F,How often vandalism a problem at school
BYA49G,How often use of alcohol a problem at school
BYA49H,How often use of illegal drugs a problem at school
BYA49I,How often students on drugs/alcohol at school a problem
BYA49J,How often sale of drugs near school a problem
BYA49K,How often possession of weapons a problem at school
BYA49L,How often physical abuse of teachers a problem at school
BYA49M,How often racial tension among students a problem at school
BYA49N,How often student bullying a problem at school
BYA49O,How often verbal abuse of teachers a problem at school
BYA49P,How often disorder in classrooms a problem at school
BYA49Q,How often student disrespect for teachers a problem at school
BYA49R,How often gang activity a problem at school
BYA49S,How often cult/extremist group activities a problem at school
BYA50A,Learning hindered by poor condition of buildings
BYA50B,Learning hindered by poor heating/air/light
BYA50C,Learning hindered by poor science labs
BYA50D,Learning hindered by poor fine arts facilities
BYA50E,Learning hindered by lack of space
BYA50F,Learning hindered by poor library
BYA50G,Learning hindered by lack of texts/supplies
BYA50H,Learning hindered by too few computers
BYA50I,Learning hindered by lack of multi-media
BYA50J,Learning hindered by lack of discipline/safety
BYA50K,Learning hindered by poor voc/tech equipment/facilities
BYA51A,Student morale is high
BYA51B,Teachers press students to achieve
BYA51C,Teacher morale is high
BYA51D,Learning is high priority for students
BYA51E,Students expected to do homework
BYA53,Date completed interview
BYACCLIM,BY Academic climate scale
BYACTCTL,Action control: general effort and persistence scale
BYADMFLG,Base year school administrator questionnaire completed
BYADMSTA,Base year administrator questionnaire status
BYBASEBL,Interscholastic baseball participation
BYBSKTBL,Interscholastic basketball participation
BYCHRDRL,Interscholastic cheerleading/drill team participation
BYCONEXP,Control expectation scale
BYDOB_P,Student^s year and month of birth
BYENGLSE,BY English self-efficacy scale
BYERACE,English teacher^s race/ethnicity-composite
BYF01A,Trash on front hallway floors
BYF01B,Overflowing trashcans in hallway
BYF01C,Broken lights in hallway
BYF01D,Graffiti on hallway walls/doors/ceiling
BYF01E,Graffiti on lockers in hallway
BYF01F,Visible fire/emergency alarms in hallway
BYF01G,Chipped paint in hallway
BYF01H,Hallway ceilings in disrepair
BYF01I,Visible safety exit signs in hallway
BYF01J,Hallway floor and walls appear clean
BYF02,Noise level of main entrance during class
BYF03A,Visitor check-in sign observed
BYF03B,Sign stating ^no drugs^ observed
BYF03C,Sign stating ^no trespassing^ observed
BYF03D,Sign stating ^no weapons^ observed
BYF04A,Graffiti on bathroom walls and ceilings
BYF04B,Graffiti on bathroom stall doors/walls
BYF04C,Trash on bathroom floor
BYF04D,Overflowing trashcans in bathroom
BYF04E,Doors on all bathroom stalls
BYF04F,Students loitering in bathroom during class
BYF04G,Students smoking in bathroom during class
BYF05A,Locks on inside of classroom door
BYF05B,Classroom ceiling in disrepair
BYF05C,Broken lights in classroom
BYF05D,Graffiti on classroom walls/ceiling/doors
BYF05E,Graffiti on classroom desks
BYF05F,Trash on classroom floor
BYF05G,Overflowing trashcan in classroom
BYF05H,Classroom floor and walls appear clean
BYF05I,Posters or material on classroom windows
BYF05J,Bars on classroom windows
BYF05K,Classroom windows broken
BYF06A,Students wear ID badges
BYF06B,Teachers wear ID badges
BYF06C,Other personnel wear ID badges
BYF06D,Visitors wear ID badges
BYF07,School has parking lots
BYF08A,# entrances/exits to parking lots
BYF08B,# entrances/exits monitored by video
BYF08C,# entrances/exits monitored by guard
BYF08D,# entrances/exits locked during day
BYF09A,How much litter/trash in area around school
BYF09B,How much graffiti in area around school
BYF09C,How many boarded up buildings in area around school
BYF09D,How many people congregated in area around school
BYF09E,How many students loitering in area around school
BYF10A,Observed security guard
BYF10B,Observed metal detectors
BYF10C,Observed security cameras
BYF10D,Observed fencing around entire school
BYF10E,Observed sign-in policies
BYF10F,Observed adult direct guests to sign-in
BYF10G,Observed fire alarms
BYF10H,Observed fire extinguishers
BYF10I,Observed fire sprinklers
BYF10J,Observed exterior lights
BYF10K,Observed student lockers
BYF10L,Observed student uniforms
BYF10M,Observed signs-alarm if door opened
BYFAEDIM,Imputation flag - BYFATHED
BYFATHED,Father^s highest level of education-composite
BYFCMPIM,Imputation flag - BYFCOMP
BYFCOMP,Family composition
BYFOOTBL,Interscholastic football participation
BYFRGRIM,Number of 10th grader^s friends who consider grades very important
BYFRRACE,Number of 10th grader^s friends who are of a different race
BYFTTP,Number of full-time teachers categorical
BYG10EP,Grade 10 enrollment-2001/02 school roster-categorical
BYGNSTAT,Generational status
BYGPARED,Highest reported level of education among parents^ parents
BYGRDRPT,Number of grades repeated (K-10)
BYHISPOR,BY highest level of participation in interscholastic athletics
BYHMWRK,BY hours per week spent on homework (in and out of school)
BYHOMLIT,BY home literacy resources
BYHOMLNG,Student^s native language-composite
BYIEPFLG,Base year Individualized Education Plan
BYINCMIM,Imputation flag - BYINCOME (BYP85)
BYINCOME,Total family income from all sources 2001-composite
BYINSTMO,Instrumental motivation (utility interest) scale
BYL01,How library is organized
BYL02,Library^s total seating capacity
BYL03A,Library has individual activity areas
BYL03B,Library has small group activity areas
BYL03C,Library has large group activity areas
BYL03D,Library has staff work area
BYL03E,Library has conference rooms
BYL03F,Library has computer access area/lab
BYL04,Library can accommodate full class
BYL05,Library serves full class/other activity at once
BYL06AA,Staff includes state-certified librarians
BYL06AB,# full-time state-certified librarians
BYL06AC,# part-time state-certified librarians
BYL06BA,Library media center staff includes state-certified teachers
BYL06BB,# full-time state-certified teachers in library media center
BYL06BC,# part-time state-certified teachers in library media center
BYL06CA,Library media center staff includes uncertified professionals
BYL06CB,# full-time uncertified professionals in library media center
BYL06CC,# part-time uncertified professionals in library media center
BYL06DA,Staff includes paid library aides
BYL06DB,# full-time paid library aides
BYL06DC,# part-time paid library aides
BYL07,Volunteers provide library services
BYL08A,# of adult library volunteers
BYL08B,# of student library volunteers
BYL09,District has library media coordinator
BYL10,District library media coordinator is full-time
BYL11AA,Library has telephone
BYL11AB,Years library has had telephone
BYL11AC,Students may use telephone
BYL11AD,Faculty/staff may use telephone
BYL11AE,Library staff may use telephone
BYL11BA,Library has fax machine
BYL11BB,Years library has had fax machine
BYL11BC,Students may use fax machine
BYL11BD,Faculty/staff may use fax machine
BYL11BE,Library staff may use fax machine
BYL11CA,Library has photocopier
BYL11CB,Years library has had photocopier
BYL11CC,Students may use photocopier
BYL11CD,Faculty/staff may use photocopier
BYL11CE,Library staff may use photocopier
BYL11DA,Library has VCR
BYL11DB,Years library has had VCR
BYL11DC,Students may use VCR
BYL11DD,Faculty/staff may use VCR
BYL11DE,Library staff may use VCR
BYL11EA,Library has laser disc player
BYL11EB,Years library has had laser disc player
BYL11EC,Students may use laser disc player
BYL11ED,Faculty/staff may use laser disc player
BYL11EE,Library staff may use laser disc player
BYL11FA,Library has DVD player
BYL11FB,Years library has had DVD player
BYL11FC,Students may use DVD player
BYL11FD,Faculty/staff may use DVD player
BYL11FE,Library staff may use DVD player
BYL11GA,Library has electronic book reader
BYL11GB,Years library has had electronic book reader
BYL11GC,Students may use electronic book reader
BYL11GD,Faculty/staff may use electronic book reader
BYL11GE,Library staff may use electronic book reader
BYL11HA,Library has CD-ROM reader
BYL11HB,Years library has had CD-ROM reader
BYL11HC,Students may use CD-ROM reader
BYL11HD,Faculty/staff may use CD-ROM reader
BYL11HE,Library staff may use CD-ROM reader
BYL11IA,Library has personal computer
BYL11IB,Years library has had personal computer
BYL11IC,Students may use personal computer
BYL11ID,Faculty/staff may use personal computer
BYL11IE,Library staff may use personal computer
BYL11JA,Library has automated book circulation system
BYL11JB,Years library has had automated book circulation system
BYL11JC,Students may use automated book circulation system
BYL11JD,Faculty/staff may use automated book circulation system
BYL11JE,Library staff may use automated book circulation system
BYL11KA,Library has Internet access
BYL11KB,Years library has had Internet access
BYL11KC,Students may use Internet access
BYL11KD,Faculty/staff may use Internet access
BYL11KE,Library staff may use Internet access
BYL11LA,Library has cable TV
BYL11LB,Years library has had cable TV
BYL11LC,Students may use cable TV
BYL11LD,Faculty/staff may use cable TV
BYL11LE,Library staff may use cable TV
BYL11MA,Library has closed-circuit TV
BYL11MB,Years library has had closed-circuit TV
BYL11MC,Students may use closed-circuit TV
BYL11MD,Faculty/staff may use closed-circuit TV
BYL11ME,Library staff may use closed-circuit TV
BYL11NA,Library has video camera
BYL11NB,Years library has had video camera
BYL11NC,Students may use video camera
BYL11ND,Faculty/staff may use video camera
BYL11NE,Library staff may use video camera
BYL11OA,Library has satellite TV hook-up
BYL11OB,Years library has had satellite TV hookup
BYL11OC,Students may use satellite TV hookup
BYL11OD,Faculty/staff may use satellite TV hookup
BYL11OE,Library staff may use satellite TV hookup
BYL11PA,Library has audio equipment
BYL11PB,Years library has had audio equipment
BYL11PC,Students may use audio equipment
BYL11PD,Faculty/staff may use audio equipment
BYL11PE,Library staff may use audio equipment
BYL11QA,Library has videoconference equipment
BYL11QB,Years library had videoconference equipment
BYL11QC,Students may use videoconference equipment
BYL11QD,Faculty/staff may use videoconference equipment
BYL11QE,Library staff may use videoconference equipment
BYL11RA,Library has scanner
BYL11RB,Years library had scanner
BYL11RC,Students may use scanner
BYL11RD,Faculty/staff may use scanner
BYL11RE,Library staff may use scanner
BYL11SA,Library has LCD panel/projection device
BYL11SB,Years library had LCD panel/projection device
BYL11SC,Students may use LCD panel/projection device
BYL11SD,Faculty/staff may use LCD panel/projection device
BYL11SE,Library staff may use LCD panel/projection device
BYL11TA,Library has technology for disabled
BYL11TB,Years library has had technology for disabled
BYL11TC,Students may use technology for disabled
BYL11TD,Faculty/staff may use technology for disabled
BYL11TE,Library staff may use technology for disabled
BYL12A,Online catalog available
BYL12B,Other libraries^ online catalogs available
BYL12C,Internet access available
BYL12D,E-mail/chat room access available
BYL12E,Reference/bibliography databases available
BYL12F,General articles/news databases available
BYL12G,College/career databases available
BYL12H,Academic subject databases available
BYL12I,Electronic books/journals/references/magazines available
BYL12J,Educational software available
BYL13,Library has multimedia production facility
BYL14A,Has interlibrary loan program with area high schools
BYL14B,Has interlibrary loan program with high schools in state
BYL14C,Has interlibrary loan program with public libraries
BYL14D,Has interlibrary loan program with the state library
BYL14E,Has interlibrary loan program with colleges/universities
BYL14F,Has other interlibrary loan program
BYL15,School participates in distance learning
BYL16A,2001 holdings-books
BYL16B,2001 holdings-video
BYL16C,2001 holdings-periodical subscriptions
BYL16D,2001 holdings-electronic database subscription
BYL17,Library has professional collection for teachers
BYL18,# of professional collection volumes bought 2000-2001 school year
BYL19,Total spent on computer hardware 2000-2001 school year
BYL20,When students may use library on own
BYL21A,Students may use library on own before/after school
BYL21B,Students may use library on own during lunch break
BYL21C,Students may use library on own during set times
BYL21D,Students may use library on own between class/recess
BYL21E,Students may use library on own at other time
BYL22A,How often library used for classes at same time
BYL22B,How often library used for one class only
BYL22C,How often library used for small groups
BYL23,How often library used for non-library activities
BYL24,How many students use library per week
BYL25,Total circulation per week
BYL26,Maximum # of books students may take out
BYL27A,Students may take out reference material
BYL27B,Students may take out periodicals
BYL27C,Students may take out AV materials
BYL27D,Students may take out AV equipment
BYL27E,Students may take out computer software
BYL27F,Students may take out computer hardware
BYL27G,Students may take out none of these
BYL28,Parents allowed to check out material
BYL29,Worked in this library during 2000-2001 school year
BYL30A,How often worked with English teachers
BYL30B,How often worked with math teachers
BYL31A,School-board has policy on use of Internet
BYL31B,School-board has copyright policy
BYL31C,School-board has materials selection policy
BYL31D,School-board has none of these policies
BYL32,School has library policy/procedure manual
BYL34,Library questionnaire respondent^s title
BYL35,Date library questionnaire completed
BYLGRRPT,Last grade repeated (K-10)
BYLMCFLG,Base year library media center questionnaire completed
BYMATHIM,Imputation flag - math scores
BYMATHSE,BY mathematics self-efficacy
BYMOEDIM,Imputation flag - BYMOTHED
BYMOTHED,Mother^s highest level of education-composite
BYMRACE,Math teacher^s race/ethnicity-composite
BYNELS0M,ELS-NELS 1990 scale equated sophomore math score
BYNELS2M,ELS-NELS 1992 scale equated sophomore math score
BYNELS2R,ELS-NELS 1992 scale equated sophomore reading score
BYNONUSG,Number of grades completed outside U.S. (K-10)
BYNSPORT,BY number of interscholastic sports participated in at V or JV level
BYOCC30,Occupation at age 30-coded
BYOCCFIM,Imputation flag - BYOCCUF
BYOCCHS,Occupation right after high school-coded
BYOCCMIM,Imputation flag - BYOCCUM
BYOCCUF,Father/male guardian^s occupation-composite
BYOCCUM,Mother/female guardian^s occupation-composite
BYP01,Relationship to 10th grader
BYP02,Biological/adoptive parent lives with 10th grader
BYP03,Lives with a spouse or partner
BYP04,Spouse/partner^s relationship to 10th grader
BYP05,How often 10th grader lives with respondent
BYP06,# of dependents
BYP07A,# full/adoptive brothers live with 10th grader
BYP07B,# half-brothers live with 10th grader
BYP07C,# step-brothers live with 10th grader
BYP07D,# full/adoptive sisters live with 10th grader
BYP07E,# half-sisters live with 10th grader
BYP07F,# step-sisters live with 10th grader
BYP07G,# of 10th grader^s children live with 10th grader
BYP07H,# grandparents live with 10th grader
BYP07I,# other relatives under 18 live with 10th grader
BYP07J,# other relatives 18 or older live with 10th grader
BYP07K,# non-relatives under 18 live with 10th grader
BYP07L,# non-relatives 18 or older live with 10th grader
BYP08,# of siblings 10th grader has
BYP09,# of siblings who dropped out of high school
BYP10,Current marital status of parent respondent
BYP11,Parent respondent^s year of birth
BYP12,Spouse/partner^s year of birth
BYP13,Parent is Hispanic
BYP17,Whether 10th grader^s mother^s birthplace in US or elsewhere
BYP18,# of years ago mother came to US
BYP20,Whether 10th grader^s father^s birthplace in US or elsewhere
BYP21,# of years ago father came to US
BYP23,Whether 10th grader^s birthplace in US or elsewhere
BYP24,# of years ago 10th grader came to US
BYP25,10th grader attended school outside US
BYP26A,10th grader completed kindergarten outside US
BYP26B,10th grader completed 1st grade outside US
BYP26C,10th grader completed 2nd grade outside US
BYP26D,10th grader completed 3rd grade outside US
BYP26E,10th grader completed 4th grade outside US
BYP26F,10th grader completed 5th grade outside US
BYP26G,10th grader completed 6th grade outside US
BYP26H,10th grader completed 7th grade outside US
BYP26I,10th grader completed 8th grade outside US
BYP26J,10th grader completed 9th grade outside US
BYP26K,10th grader completed 10th grade outside US
BYP26L,10th grader did not complete any grades outside US
BYP27,Grade student placed in when started school in US
BYP28,English is parent respondent^s native language
BYP30A,How often parent speaks native language with spouse/partner
BYP30B,How often parent speaks native language with children
BYP30C,How often parent speaks native language with other relatives
BYP30D,How often parent speaks native language with friends
BYP31A,How well parent understands spoken English
BYP31B,How well parent speaks English
BYP31C,How well parent reads English
BYP31D,How well parent writes English
BYP32A,Problems reading English books/magazines
BYP32B,Problems parent has filling out forms in English
BYP32C,Problems parent has understanding 10th grader^s teachers
BYP32D,Problems parent has making self understood by teachers
BYP32E,Problems helping 10th grader with homework in English
BYP33,Religious background of parent respondent
BYP34A,Parent^s highest level of education completed
BYP34B,Spouse/partner^s highest level of education completed
BYP35A,Parent^s mother^s highest level of education
BYP35B,Parent^s father^s highest level of education
BYP35C,Spouse/partner^s mother^s highest level education
BYP35D,Spouse/partner^s father^s highest level education
BYP36,Parent working for pay during past week
BYP37,Parent^s current work status
BYP38,Whether parent ever held regular job for pay in US
BYP39C,Parent^s job description category
BYP40,Spouse/partner working for pay during past week
BYP41,Spouse/partner^s current work status
BYP42,Whether spouse/partner ever held regular job for pay in US
BYP43C,Spouse/partner^s job description category
BYP44A,10th grader attended day care program
BYP44B,10th grader attended nursery/pre-school
BYP44C,10th grader attended Head Start program
BYP44D,10th grader attended kindergarten
BYP45,# times 10th grader changed schools other than promotions
BYP46,10th grader ever held back a grade
BYP47A,10th grader held back because of parental request
BYP47B,10th grader held back because of school request
BYP47C,10th grader held back for other reason
BYP48A,10th grader repeated kindergarten
BYP48B,10th grader repeated 1st grade
BYP48C,10th grader repeated 2nd grade
BYP48D,10th grader repeated 3rd grade
BYP48E,10th grader repeated 4th grade
BYP48F,10th grader repeated 5th grade
BYP48G,10th grader repeated 6th grade
BYP48H,10th grader repeated 7th grade
BYP48I,10th grader repeated 8th grade
BYP48J,10th grader repeated 9th grade
BYP48K,10th grader repeated 10th grade
BYP49,Thinks 10th grader has disability
BYP50A,10th grader has specific learning disabilities
BYP50B,10th grader has speech/language impairments
BYP50C,10th grader has mental retardation
BYP50D,10th grader has emotional disturbance
BYP50E,10th grader has hearing impairments
BYP50F,10th grader has orthopedic impairments
BYP50G,10th grader has visual impairments
BYP50H,10th grader has other disability
BYP51,10th grader ever had behavior problem at school
BYP52A,School contacted parent about poor performance
BYP52B,School contacted parent about school program for year
BYP52C,School contacted parent about plans after high school
BYP52D,School contacted parent about course selection
BYP52E,School contacted parent about poor attendance
BYP52F,School contacted parent about problem behavior
BYP52G,School contacted parent about positive/good behavior
BYP52H,School contacted parent about fundraising/volunteer work
BYP52I,School contacted parent about helping with homework
BYP52J,School contacted parent to obtain information for records
BYP53A,Parent contacted school about poor performance
BYP53B,Parent contacted school about school program for year
BYP53C,Parent contacted school about plans after high school
BYP53D,Parent contacted school about course selection
BYP53E,Parent contacted school about poor attendance
BYP53F,Parent contacted school about problem behavior
BYP53G,Parent contacted school about positive/good behavior
BYP53H,Parent contacted school about fundraising/volunteer work
BYP53I,Parent contacted school about helping with homework
BYP53J,Parent contacted school to provide information for records
BYP54A,Belong to parent-teacher organization
BYP54B,Attend parent-teacher organization meetings
BYP54C,Take part in parent-teach organization activities
BYP54D,Act as a volunteer at the school
BYP54E,Belong to other organization with parents from school
BYP55A,How often check that homework completed
BYP55B,How often discuss report card
BYP55C,How often know whereabouts
BYP55D,How often make/enforce school night curfews
BYP56A,Provide advice about selecting courses or programs
BYP56B,Provide advice about plans for college entrance exams
BYP56C,Provide advice about applying to college/school after hs
BYP56D,Provide advice about jobs to apply for after high school
BYP56E,Provide information about community/national/world events
BYP56F,Provide advice about things troubling 10th grader
